trader_id,sentiment,trades,total_pnl,avg_pnl,avg_trade_size,win_rate
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,6449,306664.249464,47.55221731493255,2897.795917196465,0.8356334315397737
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,1369,7259.374451,5.30268404017531,3544.492330168006,0.4718772826880935
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,86,8036.124574,93.443309,4050.8032558139535,0.5232558139534884
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,1904,164006.22599,86.1377237342437,2618.9213970588235,0.29516806722689076
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,1751,-379237.811515,-216.58355883209595,1778.7408280982295,0.519131924614506
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,104,-4567.0810280000005,-43.91424065384616,3749.8611538461537,0.27884615384615385
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,377,57120.628976,151.51360471087534,19837.048647214855,0.38461538461538464
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,2013,11073.794334,5.5011397585693,954.4257178340785,0.3065076999503229
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,10790,32034.871925,2.9689408642261355,772.0169545875812,0.24976830398517144
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,259,2804.4158899999998,10.827860579150578,8364.481274131274,0.1274131274131274
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,2748,123774.526244,45.041676216885,3056.509141193595,0.3049490538573508
